ID,BreedGroup,Nei_GrayWolf,NumberOfTrialSessions,NumberOfChoices_probe_novel,NumberOfChoices_probe_familiar,Neophobia,CortiConc_Ave,CortiConc_SD,Stranger_directed_aggression,Owner_directed_aggression,Dog_directed_aggression,Familiar_dog_aggression,Trainability,Chasing,Stranger_directed_fear,Nonsocial_fear,Separation_related_Behavior,Touch_Sensitivity,Energy,Attachment,Excitability
dog1,European,0.257125,4,0,6,-11.53,38.83105511,26.20173394,0,0,0.375,0,2.375,2,0.25,2.5,0.125,0.25,0.666666667,0.666666667,0.5
dog2,European,0.20986,6,1,5,0.525,47.73475673,11.48596019,1.6,0.125,2.125,0,2.625,1.333333333,1,0.666666667,0.25,0.25,1.666666667,1.333333333,1.5
dog4,European,0.218358,3,2,4,1.78,193.2524254,27.80899222,0.1,0.5,1.142857143,0,2.625,0,0,0.166666667,0.375,0.25,1.333333333,1.5,1.5
dog8,European,0.240335,3,1,5,0.345,46.46488126,5.192737424,0.9,0,2.375,0.25,3.125,2.666666667,1.5,1,0.75,0.5,2.166666667,2,3
dog9,European,0.211265,5,3,3,-0.73,45.33128934,7.46155838,0,0,0.833333333,0,2.75,3,0,1.833333333,0.25,1,1.166666667,2.333333333,1
dog10,European,0.20393,4,1,5,-0.42,40.20875452,6.086118351,0.6,0,0.25,1,3,0.666666667,0,0,0.25,0,4,2.333333333,2
dog13,European,0.230311,6,2,4,-0.03,67.73181723,20.45544123,0.1,0,1.166666667,0,2.625,2,0.5,2.166666667,0.125,0.25,0.333333333,2.2,2
dog15,Mongrel,NA,6,4,2,2.445,80.03754622,1.738696292,0.666666667,0,0.875,0.5,2.375,1.333333333,1.25,0.6,0.125,0.5,1,2.333333333,1
dog16,Japanese,NA,5,4,2,2.495,51.97106864,6.449833518,1.5,0.25,1.333333333,0,2.5,2.666666667,2.5,1.166666667,1.375,0.75,2.833333333,2,2.5
dog17,European,0.206187,3,2,4,0.205,29.13252652,15.0638899,1.7,0,3.125,0,2.5,3.333333333,0.25,0.166666667,0.375,0.5,1.333333333,0.166666667,1
dog18,Japanese,0.18977,7,1,5,1.265,61.54499171,26.44446681,0.1,0,1.125,0,2.75,0.666666667,0,0.333333333,0,0,0.333333333,0.333333333,0
dog19,Japanese,0.18977,3,0,6,1.015,58.89916573,7.916921344,1,1.75,0.75,0.5,2.25,2.333333333,1,0.666666667,0,0.5,0.666666667,0.5,1
dog21,Japanese,0.18977,4,4,2,0.575,37.94821217,3.489208515,1,0.375,1,0,2.625,0.333333333,0.25,0.166666667,1.375,0.5,1.333333333,2.166666667,0.5
dog22,Mongrel,NA,5,2,4,0.84,28.23177234,5.824236919,0.9,0.25,1.25,0,2.5,2.666666667,3.5,2.833333333,0.25,1.5,1.833333333,2.166666667,1.5
dog31,European,0.20393,5,0,6,0.68,43.23535311,12.38456661,1.1,0,0.125,0,2.5,3,0,0.666666667,0.25,0.75,1.5,0.666666667,0
dog34,Japanese,0.18977,4,0,6,0.17,31.699512,11.10526206,0,0,0.142857143,0,2.5,0.666666667,0,1,0.125,0.25,0.166666667,1,1
dog35,Japanese,0.19619,6,4,2,0.1,60.07555956,5.649195551,0.2,0,1,0,2.625,1.5,0.5,0.666666667,0,0.333333333,0.833333333,0.5,0.5
dog40,Japanese,0.19619,3,3,3,-0.635,26.64848083,1.002841776,0,0,0.875,1,2.5,0.666666667,0,0,0,1.5,0.5,3.333333333,1
dog42,Japanese,0.19619,4,2,4,0.07,37.42681362,4.335742738,0.3,0,0.375,0,2.25,2,0.5,0,0,0.5,0.666666667,0.666666667,0.5
